Date;Disturbed;females;Field;Field 2;Field 3;Field 4;Fish Family;Genus;HCvsEF;juveniles;length;males;number caught;number seen;sampleID;Site;Species;weight
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Crenicichla frenata;46.6
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Crenicichla frenata;21.3
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Crenicichla frenata;13.2
03/12/2010;disturbed;;;;;;;;HC;;;;3;0;10;Caura d;Andinoacara pulcher;30
03/12/2010;disturbed;;;;;;;;HC;;;;2;0;10;Caura d;Andinoacara pulcher;20
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;10.1
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;54.6
03/12/2010;disturbed;;;;;;;;HC;;;;2;0;10;Caura d;Andinoacara pulcher;42
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;15
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;15.3
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;18.4
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Hoplias malabaricus;57.6
03/12/2010;disturbed;;;;;;;;;;6;;0;1;10;Caura d;Hypostomus robinii;60
03/12/2010;disturbed;;;;;;;;HC;;;;3;0;10;Caura d;Crenicichla frenata;26.4
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Crenicichla frenata;37.5
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Crenicichla frenata;12.6
03/12/2010;disturbed;68;;;;;;;HC;32;;56;156;0;10;Caura d;Poecilia reticulata;0.13
03/12/2010;undisturbed;;;;;;;;HC;;;;1;0;11;Caura u;Hypostomus robinii;0.2
03/12/2010;undisturbed;;;;;;;;HC;;;;1;0;11;Caura u;Hypostomus robinii;10.3
03/12/2010;undisturbed;19;;;;;;;HC;78;;24;121;0;11;Caura u;Poecilia reticulata;0.08
07/12/2010;disturbed;;;;;;;;HC;;;;2;0;13;Turure d;Astyanax bimaculatus;3.3
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Astyanax bimaculatus;8.8
07/12/2010;disturbed;;;;;;;;HC;;;;4;0;13;Turure d;Astyanax bimaculatus;4.8
07/12/2010;disturbed;;;;;;;;HC;;;;2;0;13;Turure d;Astyanax bimaculatus;6.3
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Astyanax bimaculatus;7.1
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Astyanax bimaculatus;22.4
07/12/2010;disturbed;;;;;;;;HC;;;;3;0;13;Turure d;Astyanax bimaculatus;2.5
07/12/2010;disturbed;;;;;;;;HC;;;;2;0;13;Turure d;Astyanax bimaculatus;3.8
07/12/2010;disturbed;;;;;;;;HC;;;;3;0;13;Turure d;Astyanax bimaculatus;1.8
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Astyanax bimaculatus;1.3
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Astyanax bimaculatus;5.6
07/12/2010;disturbed;;;;;;;;HC;;;;7;0;13;Turure d;Hemibrycon taeniurus;1.3
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Hemibrycon taeniurus;1.6
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Hemibrycon taeniurus;0.5
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Hemibrycon taeniurus;1
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Hoplias malabaricus;28.2
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Hypostomus robinii;0.2
07/12/2010;disturbed;;;;;;;;HC;;;;3;0;13;Turure d;Odontostilbe pulcher;0.4
07/12/2010;disturbed;;;;;;;;HC;;;;1;0;13;Turure d;Cichlasoma taenia;5.8
07/12/2010;disturbed;;;;;;;;HC;;;;4;0;13;Turure d;Corynopoma riisei ;0.7
07/12/2010;disturbed;;;;;;;;HC;;;;3;0;13;Turure d;Corynopoma riisei ;0.2
07/12/2010;disturbed;;;;;;;;HC;;;;2;0;13;Turure d;Corynopoma riisei ;1.1
07/12/2010;disturbed;;;;;;;;HC;;;;2;0;13;Turure d;Steindachnerina argentea;5.2
07/12/2010;disturbed;4;;;;;;;HC;5;;3;12;0;13;Turure d;Poecilia reticulata;0.11
07/12/2010;undisturbed;;;;;;;;HC;;;;2;0;14;Turure u;Astyanax bimaculatus;4.9
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Astyanax bimaculatus;13.7
07/12/2010;undisturbed;;;;;;;;HC;;;;2;0;14;Turure u;Astyanax bimaculatus;3
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Astyanax bimaculatus;17.2
07/12/2010;undisturbed;;;;;;;;HC;;;;2;0;14;Turure u;Astyanax bimaculatus;10.6
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Astyanax bimaculatus;4.2
07/12/2010;undisturbed;;;;;;;;HC;;;;2;0;14;Turure u;Astyanax bimaculatus;7.3
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Astyanax bimaculatus;9
07/12/2010;undisturbed;;;;;;;;HC;;;;2;0;14;Turure u;Astyanax bimaculatus;2
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Astyanax bimaculatus;2.4
07/12/2010;undisturbed;;;;;;;;HC;;;;14;0;14;Turure u;Hemibrycon taeniurus;1
07/12/2010;undisturbed;;;;;;;;HC;;;;7;0;14;Turure u;Hemibrycon taeniurus;0.6
07/12/2010;undisturbed;;;;;;;;HC;;;;4;0;14;Turure u;Hemibrycon taeniurus;2
07/12/2010;undisturbed;;;;;;;;HC;;;;2;0;14;Turure u;Hemibrycon taeniurus;1.5
07/12/2010;undisturbed;;;;;;;;HC;;;;1;0;14;Turure u;Hemibrycon taeniurus;2.4
